Unnamed: 0,propagation_type,max_noise,firstPathAmp1,firstPathAmp2,firstPathAmp3,stdNoise,maxGrowthCIR,rxPreamCount,firstPath,LDE_PPINDX,LDE_PPAMPL,first_path_power,first_ratio,index_diff,skewness
3023,0,1744,16820,16722,14193,64,16280,860,746,749,16819,-83.6291552,-4.460829439,-3,-0.703663451
3024,0,1644,17312,15025,13121,60,16652,883,746,749,17311,-84.25304595,-4.953595161,-3,0.11135573281991
3025,0,1636,16846,16606,15217,60,16702,864,745,748,16845,-83.51793882,-4.420448027,-3,-0.648324892
3026,0,1537,16157,17232,10755,56,16975,874,745,747,17231,-84.31581783,-5.188786272,-2,-0.631571631
3027,0,1529,17225,15745,14367,56,17036,880,748,751,17224,-83.90315959,-4.732281721,-3,0.0436762739771693
3028,0,1745,15891,16780,16066,64,15999,853,749,751,16779,-83.40058489,-4.227631917,-2,0.5988569850000198
3029,0,1748,16935,14933,12270,64,16516,872,743,747,16992,-84.38264303,-5.156461336,-4,-0.171427461
3030,0,1642,17069,16950,14749,60,16412,861,744,747,17068,-83.45991623,-4.316567549,-3,-0.700512518
3031,0,1432,16371,17279,11796,52,17129,883,744,746,17278,-84.20289537,-5.026100653,-2,-0.631925145
3032,0,1531,17168,17119,14534,56,16592,871,751,754,17167,-83.54469126,-4.348414812,-3,-0.706265631
3033,0,1532,16194,14623,8892,56,15910,843,747,751,16439,-84.84248381,-5.747733377,-4,-0.576534471
3034,0,1522,16366,16582,15352,60,16776,875,750,752,16581,-83.69761626,-4.50943864,-2,-0.622028176
3035,0,1749,17212,17134,15648,64,16881,864,747,750,17211,-83.28503937,-4.233845486,-3,-0.700880878
3036,0,1637,16769,15872,13829,60,16874,873,745,749,16901,-83.99073436,-4.847729198,-4,-0.435816046
3037,0,1319,16348,16318,10458,52,15696,845,746,749,16347,-84.22567295,-5.051527939,-3,-0.707044555
